source_type,source_value,scale_factor,trajectory,trajectory_path,frame,uncertainty,volume_per_atom,max_force,max_force_model0,instant_pressure_gpa,natoms,min_distance_A,physical_gate_status,candidate_rank_source,candidate_file,final_selected,cur_rank,cur_phase,cur_score,selected_file,singular_value,residual_norm,max_similarity_selected,max_similarity_base
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,504,0.1395669843,17.520118092538862,3.150029973,3.275098962,4.517053676,16,2.0088486205095775,passed,1,P-2GPa_frame00000504_U0.139567.poscar,False,,,,,,,,0.9999765222
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,556,0.1431635955,17.47355022132802,3.732733527,3.755968209,3.5850925,16,2.132151301462308,passed,2,P-2GPa_frame00000556_U0.143164.poscar,False,,,,,,,,0.9999754461
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,607,0.1545326579,17.72231770016169,3.662807675,3.701802647,3.420676518,16,2.1806185908204014,passed,3,P-2GPa_frame00000607_U0.154533.poscar,False,,,,,,,,0.9999774645
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,659,0.1388235382,18.612932160754095,3.551345393,3.509272499,-0.460188329,16,2.2616129801695104,passed,4,P-2GPa_frame00000659_U0.138824.poscar,False,,,,,,,,0.9999023937
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,716,0.1478549451,18.517350874653417,4.250520458,4.303229523,1.423259237,16,2.1384892650935377,passed,5,P-2GPa_frame00000716_U0.147855.poscar,False,,,,,,,,0.9999762095
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,768,0.1679026391,18.37282213664789,3.613842888,3.596273507,0.05060486086,16,2.086040829172316,passed,6,P-2GPa_frame00000768_U0.167903.poscar,False,,,,,,,,0.999870445
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,818,0.1883694086,18.414151388101317,2.910644487,2.950705551,3.801369874,16,2.3212170282786473,passed,7,P-2GPa_frame00000818_U0.188369.poscar,True,23,cur-fill,0.04209503434,000023.poscar,0.003303961329,0.0007529802431,0.9835583078,0.999966734
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,869,0.1664624752,17.452526101939114,2.913873761,2.895322728,4.229957087,16,1.9418415632668629,passed,8,P-2GPa_frame00000869_U0.166462.poscar,False,,,,,,,,0.9999839346
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,925,0.1358174093,17.16841606514553,3.097393821,3.12674181,5.174637912,16,2.225933260071976,passed,9,P-2GPa_frame00000925_U0.135817.poscar,True,4,cur-fill,0.01715740975,000004.poscar,0.0896400715,0.01292909888,0.8611125576,0.9999461068
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,975,0.2435007424,17.912601323335842,3.0080256,3.043690632,2.584944633,16,1.98801853492511,passed,10,P-2GPa_frame00000975_U0.243501.poscar,False,,,,,,,,0.9999700793
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1029,0.136548863,18.782926374150325,3.719008123,3.685711768,0.384875992,16,2.121210215033861,passed,11,P-2GPa_frame00001029_U0.136549.poscar,True,36,cur-fill,0.03100350786,000036.poscar,0.0007754913543,0.0001537005325,0.9948554425,0.9999916442
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1081,0.1396378711,19.366294845820143,3.100082139,3.049472984,-3.312016849,16,2.0349041399241052,passed,12,P-2GPa_frame00001081_U0.139638.poscar,False,,,,,,,,0.9999775698
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1131,0.1903313956,18.523029638873208,4.295514921,4.261359794,-0.6825516593,16,1.873445387195629,passed,13,P-2GPa_frame00001131_U0.190331.poscar,False,,,,,,,,0.9999548574
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1185,0.1431930532,18.08003448555097,3.710971188,3.698646836,2.132366885,16,2.1161150536648683,passed,14,P-2GPa_frame00001185_U0.143193.poscar,True,15,cur-fill,0.0361589751,000015.poscar,0.008555054159,0.001855105465,0.9886983133,0.9999634381
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1244,0.1627360125,17.46269611672958,3.852153154,3.927835747,4.33140647,16,1.9520920734811888,passed,15,P-2GPa_frame00001244_U0.162736.poscar,False,,,,,,,,0.9999857656
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1300,0.1455420463,17.209743244987433,3.293468761,3.286656812,5.537051368,16,2.1075206644643747,passed,16,P-2GPa_frame00001300_U0.145542.poscar,False,,,,,,,,0.9999832513
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1353,0.1434802155,17.965217102282583,2.698530683,2.658452068,2.272201587,16,2.2546351069002744,passed,17,P-2GPa_frame00001353_U0.143480.poscar,False,,,,,,,,0.9999852547
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1405,0.1384972828,17.793544702203015,2.671824062,2.674432014,3.47134144,16,2.095637846092144,passed,18,P-2GPa_frame00001405_U0.138497.poscar,False,,,,,,,,0.9999464773
npt_pressure,2,,P-2GPa,Ti-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1459,0.1796372881,17.81931178784278,3.560109523,3.7501517,2.633487858,16,2.11860625432608,passed,19,P-2GPa_frame00001459_U0.179637.poscar,False,,,,,,,,0.9999768972
