source_type,source_value,scale_factor,trajectory,trajectory_path,frame,uncertainty,volume_per_atom,max_force,max_force_model0,candidate_rank_source,natoms,min_distance_A,void_radius_A,normalized_void,geometry_gate_status,physical_gate_reasons
rss_mini,0.0,,rss-n10-p0bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p0bar.xyz,3,0.22656772512483092,16.772557435544165,0.1953181365840901,0.2052275291679579,1,10,2.4414575785532637,2.1220461317286654,0.8290010074541091,passed,
rss_mini,0.0,,rss-n10-p0bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p0bar.xyz,12,0.22367448079736996,17.447503733495616,0.19508160969987734,0.2732784836524284,2,10,2.5335382070912953,2.3623169309468777,0.9108084741210846,passed,
rss_mini,0.0,,rss-n10-p0bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p0bar.xyz,19,0.2187699996081954,17.97577519527318,0.14249284043601437,0.35264795328365584,3,10,2.5727181668595307,2.5261062457091716,0.9643227291731664,rejected,normalized_void>0.946305
rss_mini,0.0,,rss-n10-p0bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p0bar.xyz,26,0.3396460604487525,18.116832412014528,0.3391306628275184,0.2927586972090569,4,10,2.6160944436417726,2.6125655458054022,0.9947328023237236,rejected,normalized_void>0.946305
rss_mini,0.0,,rss-n10-p0bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p0bar.xyz,27,0.3085323503317625,18.17030275830135,0.21894436631386308,0.6457076341715293,5,10,2.611765681727158,2.6762902663747266,1.0179954260321178,rejected,normalized_void>0.946305
rss_mini,0.0,,rss-n10-p0bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p0bar.xyz,44,0.34087406616193755,17.97997129663989,0.4652042106148019,0.3759284481273579,6,10,2.5505784103666227,2.578705263403337,0.9843254378063144,rejected,normalized_void>0.946305
rss_mini,20.0,,rss-n10-p200000bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p200000bar.xyz,3,0.22518041149565418,15.66911749778276,0.2714897315755842,0.28903075143552387,1,10,2.3851769706867896,2.059293051569788,0.8229434160966053,passed,
rss_mini,20.0,,rss-n10-p200000bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p200000bar.xyz,12,0.34220904099554206,15.922935949737695,0.4686637571905648,0.381091147487691,2,10,2.4365215135057157,2.266901680209399,0.9010695248960671,passed,
rss_mini,20.0,,rss-n10-p200000bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p200000bar.xyz,16,0.25714234356238824,16.080752859088342,0.17625949548093278,0.23104477809862578,3,10,2.5552942208556964,2.5002906432167844,0.9905772961852142,rejected,normalized_void>0.946305
rss_mini,20.0,,rss-n10-p200000bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p200000bar.xyz,27,0.31165788831618657,17.155100967772967,0.3947632102433468,0.2704570073220197,4,10,2.5806256343004237,2.604275515328681,1.0097700881415177,rejected,normalized_void>0.946305
rss_mini,20.0,,rss-n10-p200000bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p200000bar.xyz,37,0.24118736147469283,16.070819560856542,0.2938622622371099,0.3522605011648837,5,10,2.3829822601778035,2.377020960893369,0.9419337028015683,passed,
rss_mini,20.0,,rss-n10-p200000bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p200000bar.xyz,44,0.4231155133027717,16.843379664221146,0.5625012065988467,0.5979911983511438,6,10,2.497201326436564,2.484884765474901,0.9693854735457964,rejected,normalized_void>0.946305
rss_mini,20.0,,rss-n10-p200000bar,W-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p200000bar.xyz,45,0.22915876437756258,15.72639344106651,0.3882953036784292,0.3414613696051365,7,10,2.526955670552726,2.0715281503602188,0.8268266391449072,passed,
