fold,metric_name,metric_unit,jnn_path,log_path,train_metric,test_metric,selection_metric,train_test_gap,train_test_ratio,eligible,exclude_reason
0,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-0/0.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-0/log,4.731,5.284,5.284,0.553,1.11688860706,yes,
1,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-1/1.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-1/log,4.228,4.193,4.193,0.035,1.00834724541,yes,
2,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-2/2.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-2/log,4.508,4.839,4.839,0.331,1.07342502218,yes,
3,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-3/3.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-3/log,4.566,4.507,4.507,0.059,1.01309074773,yes,
4,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-4/4.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-4/log,4.503,4.809,4.809,0.306,1.06795469687,yes,
5,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-5/5.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-5/log,4.497,4.255,4.255,0.242,1.05687426557,yes,
6,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-6/6.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-6/log,4.174,5.367,5.367,1.193,1.28581696215,no,train/test ratio 1.28582 > 1.25
7,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-7/7.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-7/log,4.591,5.15,5.15,0.559,1.12175996515,yes,
8,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-8/8.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-8/log,4.736,3.812,3.812,0.924,1.24239244491,yes,
9,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-9/9.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-9/log,4.509,3.887,3.887,0.622,1.16002058143,yes,
