fold,metric_name,metric_unit,jnn_path,log_path,train_metric,test_metric,selection_metric,train_test_gap,train_test_ratio,eligible,exclude_reason
0,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-0/0.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-0/log,1.006,1.262,1.262,0.256,1.25447316103,no,train/test ratio 1.25447 > 1.25
1,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-1/1.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-1/log,1.074,1.297,1.297,0.223,1.20763500931,yes,
2,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-2/2.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-2/log,0.9765,1.056,1.056,0.0795,1.08141321045,yes,
3,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-3/3.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-3/log,1.066,1.051,1.051,0.015,1.01427212179,yes,
4,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-4/4.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-4/log,1.019,0.8664,0.8664,0.1526,1.17613111727,yes,
5,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-5/5.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-5/log,1.035,0.848,0.848,0.187,1.22051886792,yes,
6,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-6/6.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-6/log,1.117,1.273,1.273,0.156,1.13965980304,yes,
7,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-7/7.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-7/log,1.031,0.7126,0.7126,0.3184,1.44681448218,no,train/test ratio 1.44681 > 1.25
8,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-8/8.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-8/log,0.9059,1.24,1.24,0.3341,1.36880450381,no,train/test ratio 1.3688 > 1.25
9,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-9/9.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-9/log,1,1.972,1.972,0.972,1.972,no,train/test ratio 1.972 > 1.25
