fold,metric_name,metric_unit,jnn_path,log_path,train_metric,test_metric,selection_metric,train_test_gap,train_test_ratio,eligible,exclude_reason
0,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-0/0.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-0/log,7.158,8.644,8.644,1.486,1.20759988824,yes,
1,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-1/1.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-1/log,7.056,9.304,9.304,2.248,1.31859410431,no,train/test ratio 1.31859 > 1.25
2,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-2/2.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-2/log,7.01,6.889,6.889,0.121,1.01756423283,yes,
3,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-3/3.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-3/log,6.418,6.151,6.151,0.267,1.043407576,yes,
4,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-4/4.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-4/log,7.517,4.834,4.834,2.683,1.55502689284,no,train/test ratio 1.55503 > 1.25
5,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-5/5.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-5/log,6.648,4.503,4.503,2.145,1.4763491006,no,train/test ratio 1.47635 > 1.25
6,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-6/6.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-6/log,6.942,9.035,9.035,2.093,1.30149812734,no,train/test ratio 1.3015 > 1.25
7,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-7/7.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-7/log,6.819,8.704,8.704,1.885,1.27643349465,no,train/test ratio 1.27643 > 1.25
8,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-8/8.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-8/log,7.248,7.45,7.45,0.202,1.02786975717,yes,
9,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-9/9.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-9/log,6.958,5.05,5.05,1.908,1.37782178218,no,train/test ratio 1.37782 > 1.25
