pressure_gpa,scale_factor,source_type,source_value,trajectory,trajectory_path,frame,uncertainty,uncertainty_bin,volume_per_atom,max_force,max_force_model0,instant_pressure_gpa,discarded_equilibration,selected_candidate,candidate_id,candidate_file,selection_rank_in_bin,cur_score,final_selected,natoms,mini_pressure_bar,pressure_index,raw_index,rss_source_file,rss_source_path,minimized_source_path,raw_source_path,flat_sha256,minimized_sha256
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,17,0.05695926925848725,,17.242118099694455,0.04935578703000701,0.07763832410101779,,False,False,,,,,False,12,0.0,0,117,000352.poscar,unary-Ti/Ti-00117-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00117-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00117.poscar,dafe1f4c4ba64611e75412037eb9220b8a933e49f4ab60ba47597bf91028fa78,dafe1f4c4ba64611e75412037eb9220b8a933e49f4ab60ba47597bf91028fa78
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,18,0.04502686461639029,,17.096393658151353,0.09616279665979899,0.12429275570084414,,False,False,,,,,False,12,0.0,0,118,000355.poscar,unary-Ti/Ti-00118-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00118-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00118.poscar,540fd185f710a8a09206690e39dcbf0004d3c698e0158ac11d6cfdd8f38f118a,540fd185f710a8a09206690e39dcbf0004d3c698e0158ac11d6cfdd8f38f118a
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,19,0.05165417027227151,,17.01228630676486,0.08679671835406653,0.11045612803719516,,False,False,,,,,False,12,0.0,0,119,000358.poscar,unary-Ti/Ti-00119-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00119-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00119.poscar,e7110e64ae20ed4242e28f1efe682ce1abc8051f8a0168b502e656e4762ac8e2,e7110e64ae20ed4242e28f1efe682ce1abc8051f8a0168b502e656e4762ac8e2
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,20,0.01553238948854012,,17.11374701794113,0.03258910183033365,0.03858153122987615,,False,False,,,,,False,12,0.0,0,120,000361.poscar,unary-Ti/Ti-00120-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00120-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00120.poscar,9567ff2a1cd1a270155927a13ef36fbb673b5b173a9e31d5d425f12b94a0339c,9567ff2a1cd1a270155927a13ef36fbb673b5b173a9e31d5d425f12b94a0339c
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,21,0.03542315065783878,,17.100081965155,0.10577023847164756,0.08305106020324023,,False,False,,,,,False,12,0.0,0,121,000364.poscar,unary-Ti/Ti-00121-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00121-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00121.poscar,b060df73870ccb817e6c3d4adb881ece9cdbd0966c33a1d7dda123d87336b8a6,b060df73870ccb817e6c3d4adb881ece9cdbd0966c33a1d7dda123d87336b8a6
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,22,0.05277657128761675,,17.154593495874227,0.06549592264022276,0.11641837700218802,,False,False,,,,,False,12,0.0,0,122,000367.poscar,unary-Ti/Ti-00122-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00122-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00122.poscar,29b28ba6ba56d3a9cda2d04a3e3d3fb09505e2ae81a449e5170ce3db58cb6d8e,29b28ba6ba56d3a9cda2d04a3e3d3fb09505e2ae81a449e5170ce3db58cb6d8e
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,23,0.05315995781590435,,17.33002664748882,0.07891738800730753,0.11093372339971197,,False,False,,,,,False,12,0.0,0,123,000370.poscar,unary-Ti/Ti-00123-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00123-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00123.poscar,f671ed2acd91151174f666f484fd4bf623c059a54819461aae919366ffa750a2,f671ed2acd91151174f666f484fd4bf623c059a54819461aae919366ffa750a2
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,24,0.05722731166507928,,17.374939943899932,0.13228406272391643,0.1772552286051458,,False,False,,,,,False,12,0.0,0,124,000373.poscar,unary-Ti/Ti-00124-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00124-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00124.poscar,0500cb49ddcb9c1a11558fa198f82078a7dec126f348fc2faee6cd920179ef1c,0500cb49ddcb9c1a11558fa198f82078a7dec126f348fc2faee6cd920179ef1c
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,25,0.06096769762045707,,17.143262635427547,0.1071410466544893,0.12117490636380089,,False,False,,,,,False,12,0.0,0,125,000376.poscar,unary-Ti/Ti-00125-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00125-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00125.poscar,688b2b9a9eb3cebdee554a200006aef2a46aaca1f25a5cd5b5c51e2c25131907,688b2b9a9eb3cebdee554a200006aef2a46aaca1f25a5cd5b5c51e2c25131907
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,26,0.05325717663811937,,17.070349819574897,0.12295930497475688,0.11612998870335192,,False,False,,,,,False,12,0.0,0,126,000379.poscar,unary-Ti/Ti-00126-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00126-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00126.poscar,a749e45880369cc215a3d7e3190e78a4a1bf0b6e9b2a42021a22e5236278f219,a749e45880369cc215a3d7e3190e78a4a1bf0b6e9b2a42021a22e5236278f219
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,27,0.06303067693089523,,17.08415930830877,0.12941237166359612,0.15457872337482395,,False,False,,,,,False,12,0.0,0,127,000382.poscar,unary-Ti/Ti-00127-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00127-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00127.poscar,8592f734839266f3e435d0008ee4ec4870b06ed58e0efba6ae6618897e72f684,8592f734839266f3e435d0008ee4ec4870b06ed58e0efba6ae6618897e72f684
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,28,0.0352067277613058,,17.130793907506053,0.05719331081678722,0.07319428836741003,,False,False,,,,,False,12,0.0,0,128,000385.poscar,unary-Ti/Ti-00128-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00128-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00128.poscar,4c3222a2b9ef2b407f35899bce3496e41f446cae0e45ceb7d873d008bdc4e38a,4c3222a2b9ef2b407f35899bce3496e41f446cae0e45ceb7d873d008bdc4e38a
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,29,0.05713783252693402,,17.1403550434341,0.10893998912637005,0.12417919230639204,,False,False,,,,,False,12,0.0,0,129,000388.poscar,unary-Ti/Ti-00129-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00129-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00129.poscar,1b345dbe406830f0c78789ee7473a0939fa6f4a5981285828fc49e42bbc4df49,1b345dbe406830f0c78789ee7473a0939fa6f4a5981285828fc49e42bbc4df49
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,30,0.05378226100450422,,17.49289562172849,0.10930190247666055,0.1201122642409974,,False,False,,,,,False,12,0.0,0,130,000391.poscar,unary-Ti/Ti-00130-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00130-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00130.poscar,7ff4b6b481d08dfcaba3fb1031887ad5988da1f153b82e430615b46b1b2de6c4,7ff4b6b481d08dfcaba3fb1031887ad5988da1f153b82e430615b46b1b2de6c4
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,31,0.04876990911878678,,17.080935451684905,0.06395753016255024,0.059411535434359036,,False,False,,,,,False,12,0.0,0,131,000394.poscar,unary-Ti/Ti-00131-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00131-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00131.poscar,7d3ef151953109ced33966974d60b7e762d487b83d63a5a92ba40a88dca24a92,7d3ef151953109ced33966974d60b7e762d487b83d63a5a92ba40a88dca24a92
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,32,0.019160193855327474,,17.085289222800213,0.055020763109084825,0.057141235527052754,,False,False,,,,,False,12,0.0,0,132,000397.poscar,unary-Ti/Ti-00132-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00132-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00132.poscar,ed19919bb74f159de25802e15f559aebec7c65e3e4009dc4786dee52d7057164,ed19919bb74f159de25802e15f559aebec7c65e3e4009dc4786dee52d7057164
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,33,0.055870417574004766,,17.196098189455885,0.06311287089861645,0.09548405551099706,,False,False,,,,,False,12,0.0,0,133,000400.poscar,unary-Ti/Ti-00133-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00133-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00133.poscar,1bcc2f3263f626ef5aba3041cde5d557a0d43b55c9f670018c827a114350853c,1bcc2f3263f626ef5aba3041cde5d557a0d43b55c9f670018c827a114350853c
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,34,0.03723141765335248,,17.21805803189854,0.06246669528942555,0.06586605505034336,,False,False,,,,,False,12,0.0,0,134,000403.poscar,unary-Ti/Ti-00134-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00134-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00134.poscar,9fc04f160a161c5fa4978f9e9b61a426f644967e427a7835687da1e761530be6,9fc04f160a161c5fa4978f9e9b61a426f644967e427a7835687da1e761530be6
0.0,,rss_mini,0.0,rss-n12-p0bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p0bar.xyz,35,0.04477011065476031,,17.087008642679503,0.07576195275200526,0.09326018201552952,,False,False,,,,,False,12,0.0,0,135,000406.poscar,unary-Ti/Ti-00135-0.poscar,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ti/Ti-00135-0.poscar,Ti-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ti/Ti-00135.poscar,6481011438850daeac0bccd8fb53acf17b61369f9b7c75e40575e8a8fcf38994,6481011438850daeac0bccd8fb53acf17b61369f9b7c75e40575e8a8fcf38994
