source_type,source_value,scale_factor,trajectory,trajectory_path,frame,uncertainty,volume_per_atom,max_force,max_force_model0,candidate_rank_source,natoms,min_distance_A,void_radius_A,normalized_void,geometry_gate_status,physical_gate_reasons
rss_mini,40.0,,rss-n10-p400000bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p400000bar.xyz,12,0.14154388806224177,13.291267542158256,0.20235101274451014,0.23950476955046218,1,10,2.1289076625607724,1.9099775206426737,0.8063175684310563,passed,
rss_mini,40.0,,rss-n10-p400000bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p400000bar.xyz,17,0.15827444385185394,13.348567725778958,0.11668140270540997,0.267842875293674,2,10,2.070030328018973,1.8610106486691347,0.7845199074029274,passed,
rss_mini,40.0,,rss-n10-p400000bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p400000bar.xyz,20,0.16084481628805358,13.40532321513596,0.231749523746188,0.30015553936193656,3,10,2.059357008600881,1.868225298196954,0.786448253164039,passed,
rss_mini,40.0,,rss-n10-p400000bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p400000bar.xyz,33,0.16658612440248902,13.334580210609023,0.1657202899958995,0.2672607844377767,4,10,2.0595888526862485,1.9275354091594925,0.8128478265581506,passed,
rss_mini,40.0,,rss-n10-p400000bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p400000bar.xyz,38,0.13843611441874523,13.371907077980623,0.11261569187874246,0.1136936006127859,5,10,2.2779329181556416,1.8759060555753588,0.7903387977838949,passed,
rss_mini,40.0,,rss-n10-p400000bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p400000bar.xyz,40,0.14326015094071354,13.250223789429125,0.12206016377926235,0.1416801307700795,6,10,2.0642878777618305,1.8271611176463074,0.7721513593455328,passed,
rss_mini,40.0,,rss-n10-p400000bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p400000bar.xyz,42,0.16142338172912268,13.220956036925045,0.24050319410946494,0.2378039342896192,7,10,2.074480278376702,1.8812997110034573,0.7956163544127259,passed,
rss_mini,40.0,,rss-n10-p400000bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p400000bar.xyz,43,0.14129324563278348,13.328763021216911,0.15222198365815612,0.2753827127628192,8,10,2.092952559733224,1.8559637977214394,0.7827796952170282,passed,
rss_mini,40.0,,rss-n10-p400000bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n10-p400000bar.xyz,45,0.18905235698710643,13.183307672928773,0.16391774777084353,0.22118368049713713,9,10,1.969814988341877,1.8826638794846557,0.7969504639231443,passed,
rss_mini,40.0,,rss-n12-p400000bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p400000bar.xyz,2,0.2553346873464259,13.29068239673178,0.35213961354427054,0.49068531598236714,1,12,1.9376738069123323,1.9652730329876629,0.8296733397224261,passed,
rss_mini,40.0,,rss-n12-p400000bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n12-p400000bar.xyz,24,0.16379332749173983,13.379113958825613,0.21236807068231384,0.39977362548369444,2,12,2.1521735102679216,1.8418359556415025,0.7758453517785074,passed,
rss_mini,20.0,,rss-n15-p200000bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n15-p200000bar.xyz,11,0.14917161119470976,14.886434581082124,0.24529837914282826,0.26883761072510826,1,15,2.068433621694046,2.0547968137779287,0.8352926357939497,passed,
rss_mini,20.0,,rss-n15-p200000bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n15-p200000bar.xyz,14,0.15478843406935713,14.814677324582544,0.13725095396491765,0.1543735658509428,2,15,2.047399889420103,2.0443272539533544,0.8323762618215025,passed,
rss_mini,20.0,,rss-n15-p200000bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n15-p200000bar.xyz,23,0.16549555446432782,14.854437555743619,0.2112792497543517,0.2626744824036864,3,15,1.993751591041585,1.9299056702035924,0.7850862019788997,passed,
rss_mini,20.0,,rss-n15-p200000bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n15-p200000bar.xyz,35,0.162300959347246,14.822077990966855,0.18853022984732298,0.20691703753365925,4,15,2.049124272785793,1.9372332145248965,0.7886401350750295,passed,
rss_mini,40.0,,rss-n15-p400000bar,Ti-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n15-p400000bar.xyz,0,0.1407985586548251,13.415573779652792,0.26059328835994683,0.4028821611819144,1,15,2.0905131232883774,1.8696588919343649,0.7868512311160182,passed,
