structure,n_points,raw_energy_mae_eV_per_atom,raw_energy_rmse_eV_per_atom,raw_energy_max_abs_eV_per_atom,raw_energy_mae_meV_per_atom,raw_energy_rmse_meV_per_atom,raw_energy_max_abs_meV_per_atom,phase_aligned_relative_energy_mae_eV_per_atom,phase_aligned_relative_energy_rmse_eV_per_atom,phase_aligned_relative_energy_max_abs_eV_per_atom,phase_aligned_relative_energy_mae_meV_per_atom,phase_aligned_relative_energy_rmse_meV_per_atom,phase_aligned_relative_energy_max_abs_meV_per_atom,dft_grid_min_scale,nnap_grid_min_scale,dft_grid_min_volume_per_atom_A3,nnap_grid_min_volume_per_atom_A3,grid_min_volume_shift_A3_per_atom,dft_grid_min_energy_per_atom_eV,nnap_grid_min_energy_per_atom_eV
bcc,19,0.0922538981912,0.0967389955936,0.147142275723,92.2538981912,96.7389955936,147.142275723,0.0252702528138,0.0318945823178,0.067911927134,25.2702528138,31.8945823178,67.911927134,1,1.00666666667,15.9322635215,16.2530378144,0.320774292919,-13.015689420000,-12.936459071411
fcc,19,0.00301261988784,0.00361407240868,0.005327066852,3.01261988784,3.61407240868,5.327066852,0.00245170145411,0.00339309140706,0.006434291304,2.45170145411,3.39309140706,6.434291304,1.00666666667,1.00666666667,16.2241388353,16.2241388353,0,-12.516224712500,-12.521061206971
hcp,19,0.132919169588,0.137507749682,0.181298129611,132.919169588,137.507749682,181.298129611,0.0331856273215,0.0412439242865,0.081770242994,33.1856273215,41.2439242865,81.770242994,0.993333333333,0.99,16.2838327998,16.1204510865,-0.163381713289,-12.501367290000,-12.655738399171
all,57,0.0760618958889,0.0970908097442,0.181298129611,76.0618958889,97.0908097442,181.298129611,0.0203025271965,0.0301653152979,0.081770242994,20.3025271965,30.1653152979,81.770242994,,,,,,,
