fold,metric_name,metric_unit,jnn_path,log_path,train_metric,test_metric,selection_metric,train_test_gap,train_test_ratio,eligible,exclude_reason
0,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-0/0.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-0/log,8.044,8.89,8.89,0.846,1.10517155644,yes,
1,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-1/1.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-1/log,7.82,9.068,9.068,1.248,1.15959079284,yes,
2,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-2/2.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-2/log,7.751,8.96,8.96,1.209,1.15597987356,yes,
3,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-3/3.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-3/log,7.959,6.997,6.997,0.962,1.13748749464,yes,
4,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-4/4.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-4/log,8.508,7.591,7.591,0.917,1.12080094849,yes,
5,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-5/5.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-5/log,7.582,8.776,8.776,1.194,1.15747823793,yes,
6,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-6/6.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-6/log,8.341,8.331,8.331,0.01,1.00120033609,yes,
7,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-7/7.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-7/log,8.09,7.25,7.25,0.84,1.11586206897,yes,
8,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-8/8.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-8/log,8.256,7.305,7.305,0.951,1.13018480493,yes,
9,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-9/9.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-9/log,7.819,9.348,9.348,1.529,1.19554930298,yes,
