structure,n_points,raw_energy_mae_eV_per_atom,raw_energy_rmse_eV_per_atom,raw_energy_max_abs_eV_per_atom,raw_energy_mae_meV_per_atom,raw_energy_rmse_meV_per_atom,raw_energy_max_abs_meV_per_atom,phase_aligned_relative_energy_mae_eV_per_atom,phase_aligned_relative_energy_rmse_eV_per_atom,phase_aligned_relative_energy_max_abs_eV_per_atom,phase_aligned_relative_energy_mae_meV_per_atom,phase_aligned_relative_energy_rmse_meV_per_atom,phase_aligned_relative_energy_max_abs_meV_per_atom,dft_grid_min_scale,nnap_grid_min_scale,dft_grid_min_volume_per_atom_A3,nnap_grid_min_volume_per_atom_A3,grid_min_volume_shift_A3_per_atom,dft_grid_min_energy_per_atom_eV,nnap_grid_min_energy_per_atom_eV
bcc,19,0.0218329927203,0.0298457276219,0.058323096344,21.8329927203,29.8457276219,58.323096344,0.0195376004906,0.021624600609,0.036338694951,19.5376004906,21.624600609,36.338694951,1,1.01,18.1299727385,18.6793290424,0.549356303949,-11.860121475000,-11.882105876393
fcc,19,0.000422747377895,0.000581042271376,0.001397390144,0.422747377895,0.581042271376,1.397390144,0.000322352218368,0.000408098244869,0.000987477039,0.322352218368,0.408098244869,0.987477039,1.01,1.01,18.7015754834,18.7015754834,0,-11.607138885000,-11.606728971895
hcp,19,0.0262919328707,0.0354227441036,0.071940575754,26.2919328707,35.4227441036,71.940575754,0.0202145340784,0.0253112982589,0.054432534606,20.2145340784,25.3112982589,54.432534606,0.996666666667,1.00333333333,18.6309629437,19.0073347691,0.376371825375,-11.573159890000,-11.590667931148
all,57,0.0161825576563,0.02674494262,0.071940575754,16.1825576563,26.74494262,71.940575754,0.0133581622625,0.0192219641316,0.054432534606,13.3581622625,19.2219641316,54.432534606,,,,,,,
