fold,metric_name,metric_unit,jnn_path,log_path,train_metric,test_metric,selection_metric,train_test_gap,train_test_ratio,eligible,exclude_reason
0,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-0/0.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-0/log,2.209,1.973,1.973,0.236,1.1196147998,yes,
1,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-1/1.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-1/log,2.239,3.471,3.471,1.232,1.55024564538,no,train/test ratio 1.55025 > 1.25
2,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-2/2.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-2/log,2.321,2.598,2.598,0.277,1.11934510987,yes,
3,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-3/3.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-3/log,2.424,3.007,3.007,0.583,1.24051155116,yes,
4,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-4/4.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-4/log,2.403,2.067,2.067,0.336,1.16255442671,yes,
5,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-5/5.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-5/log,2.342,1.967,1.967,0.375,1.19064565328,yes,
6,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-6/6.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-6/log,2.262,2.688,2.688,0.426,1.18832891247,yes,
7,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-7/7.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-7/log,2.246,2.067,2.067,0.179,1.08659893566,yes,
8,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-8/8.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-8/log,2.605,3.231,3.231,0.626,1.24030710173,yes,
9,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-9/9.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M0_from_D0/train-committee/train-9/log,2.285,2.85,2.85,0.565,1.24726477024,yes,
