fold,metric_name,metric_unit,jnn_path,log_path,train_metric,test_metric,selection_metric,train_test_gap,train_test_ratio,eligible,exclude_reason
0,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-0/0.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-0/log,7.417,6.711,6.711,0.706,1.10520041723,yes,
1,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-1/1.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-1/log,7.082,6.924,6.924,0.158,1.02281917966,yes,
2,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-2/2.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-2/log,7.019,6.138,6.138,0.881,1.14353209514,yes,
3,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-3/3.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-3/log,7.095,7.554,7.554,0.459,1.06469344609,yes,
4,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-4/4.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-4/log,6.847,7.584,7.584,0.737,1.10763838177,yes,
5,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-5/5.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-5/log,7.375,6.224,6.224,1.151,1.18492930591,yes,
6,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-6/6.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-6/log,7.282,6.664,6.664,0.618,1.09273709484,yes,
7,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-7/7.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-7/log,7.145,8.956,8.956,1.811,1.25346396081,no,train/test ratio 1.25346 > 1.25
8,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-8/8.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-8/log,6.97,8.246,8.246,1.276,1.18307030129,yes,
9,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-9/9.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-9/log,6.826,7.937,7.937,1.111,1.16276003516,yes,
