fold,metric_name,metric_unit,jnn_path,log_path,train_metric,test_metric,selection_metric,train_test_gap,train_test_ratio,eligible,exclude_reason
0,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-0/0.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-0/log,8.443,8.663,8.663,0.22,1.02605708871,yes,
1,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-1/1.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-1/log,8.505,8.887,8.887,0.382,1.04491475603,yes,
2,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-2/2.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-2/log,8.539,9.638,9.638,1.099,1.12870359527,yes,
3,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-3/3.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-3/log,8.482,8.432,8.432,0.05,1.00592979127,yes,
4,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-4/4.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-4/log,8.418,8.231,8.231,0.187,1.02271898919,yes,
5,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-5/5.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-5/log,8.117,7.483,7.483,0.634,1.08472537752,yes,
6,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-6/6.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-6/log,8.323,9.102,9.102,0.779,1.09359605911,yes,
7,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-7/7.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-7/log,8.388,9.597,9.597,1.209,1.14413447783,yes,
8,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-8/8.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-8/log,8.394,8.46,8.46,0.066,1.00786275911,yes,
9,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-9/9.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-9/log,8.685,8.995,8.995,0.31,1.03569372481,yes,
