structure,n_points,raw_energy_mae_eV_per_atom,raw_energy_rmse_eV_per_atom,raw_energy_max_abs_eV_per_atom,raw_energy_mae_meV_per_atom,raw_energy_rmse_meV_per_atom,raw_energy_max_abs_meV_per_atom,phase_aligned_relative_energy_mae_eV_per_atom,phase_aligned_relative_energy_rmse_eV_per_atom,phase_aligned_relative_energy_max_abs_eV_per_atom,phase_aligned_relative_energy_mae_meV_per_atom,phase_aligned_relative_energy_rmse_meV_per_atom,phase_aligned_relative_energy_max_abs_meV_per_atom,dft_grid_min_scale,nnap_grid_min_scale,dft_grid_min_volume_per_atom_A3,nnap_grid_min_volume_per_atom_A3,grid_min_volume_shift_A3_per_atom,dft_grid_min_energy_per_atom_eV,nnap_grid_min_energy_per_atom_eV
bcc,19,0.0602874378767,0.0647673324267,0.096692024126,60.2874378767,64.7673324267,96.692024126,0.0208297598107,0.0236946428224,0.037501816645,20.8297598107,23.6946428224,37.501816645,1,0.996666666667,15.9322635215,15.7734713716,-0.158792149831,-13.015689420000,-12.956499212519
fcc,19,0.00791332379384,0.0087208341648,0.014551138118,7.91332379384,8.7208341648,14.551138118,0.00303519616379,0.00385671868931,0.007838657355,3.03519616379,3.85671868931,7.838657355,1.00666666667,1.00666666667,16.2241388353,16.2241388353,0,-12.516224712500,-12.522937193263
hcp,19,0.0916617351921,0.0953197622675,0.12754675821,91.6617351921,95.3197622675,127.54675821,0.0243182250672,0.0303903983409,0.060837811263,24.3182250672,30.3903983409,60.837811263,0.993333333333,0.99,16.2838327998,16.1204510865,-0.163381713289,-12.501367290000,-12.608507814906
all,57,0.0532874989542,0.0667251011662,0.12754675821,53.2874989542,66.7251011662,127.54675821,0.0160610603472,0.0223598351876,0.060837811263,16.0610603472,22.3598351876,60.837811263,,,,,,,
