fold,metric_name,metric_unit,jnn_path,log_path,train_metric,test_metric,selection_metric,train_test_gap,train_test_ratio,eligible,exclude_reason
0,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-0/0.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-0/log,4.319,3.887,3.887,0.432,1.11113969642,yes,
1,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-1/1.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-1/log,3.933,3.517,3.517,0.416,1.11828262724,yes,
2,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-2/2.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-2/log,4.399,2.975,2.975,1.424,1.47865546218,no,train/test ratio 1.47866 > 1.25
3,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-3/3.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-3/log,4.211,5.696,5.696,1.485,1.35264782712,no,train/test ratio 1.35265 > 1.25
4,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-4/4.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-4/log,4.263,4.953,4.953,0.69,1.16185784659,yes,
5,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-5/5.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-5/log,3.698,3.417,3.417,0.281,1.08223587943,yes,
6,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-6/6.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-6/log,3.962,4.073,4.073,0.111,1.02801615346,yes,
7,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-7/7.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-7/log,3.585,4.141,4.141,0.556,1.15509065551,yes,
8,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-8/8.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-8/log,3.99,5.324,5.324,1.334,1.3343358396,no,train/test ratio 1.33434 > 1.25
9,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-9/9.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-9/log,4.606,5.734,5.734,1.128,1.24489795918,yes,
