structure,n_points,raw_energy_mae_eV_per_atom,raw_energy_rmse_eV_per_atom,raw_energy_max_abs_eV_per_atom,raw_energy_mae_meV_per_atom,raw_energy_rmse_meV_per_atom,raw_energy_max_abs_meV_per_atom,phase_aligned_relative_energy_mae_eV_per_atom,phase_aligned_relative_energy_rmse_eV_per_atom,phase_aligned_relative_energy_max_abs_eV_per_atom,phase_aligned_relative_energy_mae_meV_per_atom,phase_aligned_relative_energy_rmse_meV_per_atom,phase_aligned_relative_energy_max_abs_meV_per_atom,dft_grid_min_scale,nnap_grid_min_scale,dft_grid_min_volume_per_atom_A3,nnap_grid_min_volume_per_atom_A3,grid_min_volume_shift_A3_per_atom,dft_grid_min_energy_per_atom_eV,nnap_grid_min_energy_per_atom_eV
bcc,19,0.00796709956295,0.00836663912282,0.010648527084,7.96709956295,8.36663912282,10.648527084,0.00214163208368,0.00264523264178,0.005551548191,2.14163208368,2.64523264178,5.551548191,0.996666666667,0.996666666667,17.018667472,17.018667472,0,-7.664576160000,-7.673229758626
fcc,19,0.00101660396779,0.00118126996736,0.001701119197,1.01660396779,1.18126996736,1.701119197,0.000588200155263,0.000649682947877,0.001076071374,0.588200155263,0.649682947877,1.076071374,0.993333333333,0.993333333333,17.0012451246,17.0012451246,0,-7.708123312500,-7.707222721376
hcp,19,0.0333282863336,0.0334809470034,0.041016473596,33.3282863336,33.4809470034,41.016473596,0.00315898387553,0.00445730133828,0.01079759121,3.15898387553,4.45730133828,10.79759121,0.996666666667,0.996666666667,17.1467309996,17.1467309996,0,-7.763819620000,-7.733600737614
all,57,0.0141039966215,0.0199363141126,0.041016473596,14.1039966215,19.9363141126,41.016473596,0.00196293870482,0.00301589560397,0.01079759121,1.96293870482,3.01589560397,10.79759121,,,,,,,
