fold,metric_name,metric_unit,jnn_path,log_path,train_metric,test_metric,selection_metric,train_test_gap,train_test_ratio,eligible,exclude_reason
0,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-0/0.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-0/log,7.905,10.69,10.69,2.785,1.3523086654,no,train/test ratio 1.35231 > 1.25
1,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-1/1.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-1/log,7.725,6.805,6.805,0.92,1.13519470977,yes,
2,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-2/2.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-2/log,7.347,7.242,7.242,0.105,1.01449875725,yes,
3,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-3/3.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-3/log,7.497,8.114,8.114,0.617,1.0822995865,yes,
4,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-4/4.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-4/log,7.401,6.559,6.559,0.842,1.12837322763,yes,
5,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-5/5.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-5/log,7.529,7.873,7.873,0.344,1.04568999867,yes,
6,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-6/6.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-6/log,7.399,9.165,9.165,1.766,1.23868090282,yes,
7,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-7/7.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-7/log,7.232,7.194,7.194,0.038,1.00528217959,yes,
8,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-8/8.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-8/log,6.934,7.694,7.694,0.76,1.10960484569,yes,
9,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-9/9.jnn,/home/tuzhengyu/work/WTaTi/W-potential/fcc-restart/model_versions/M2_from_D2/train-committee/train-9/log,7.304,5.851,5.851,1.453,1.24833361818,yes,
