fold,metric_name,metric_unit,jnn_path,log_path,train_metric,test_metric,selection_metric,train_test_gap,train_test_ratio,eligible,exclude_reason
0,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-0/0.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-0/log,5.377,3.798,3.798,1.579,1.41574512902,no,train/test ratio 1.41575 > 1.25
1,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-1/1.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-1/log,5.015,5.868,5.868,0.853,1.17008973081,yes,
2,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-2/2.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-2/log,5.452,7.225,7.225,1.773,1.32520176082,no,train/test ratio 1.3252 > 1.25
3,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-3/3.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-3/log,5.49,5.205,5.205,0.285,1.05475504323,yes,
4,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-4/4.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-4/log,5.609,5.309,5.309,0.3,1.05650781691,yes,
5,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-5/5.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-5/log,5.055,5.15,5.15,0.095,1.01879327399,yes,
6,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-6/6.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-6/log,5.843,6.542,6.542,0.699,1.11963032689,yes,
7,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-7/7.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-7/log,4.996,7.19,7.19,2.194,1.43915132106,no,train/test ratio 1.43915 > 1.25
8,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-8/8.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-8/log,5.648,3.814,3.814,1.834,1.48085998951,no,train/test ratio 1.48086 > 1.25
9,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-9/9.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M1_from_D1/train-committee/train-9/log,4.682,5.688,5.688,1.006,1.21486544212,yes,
