structure,n_points,raw_energy_mae_eV_per_atom,raw_energy_rmse_eV_per_atom,raw_energy_max_abs_eV_per_atom,raw_energy_mae_meV_per_atom,raw_energy_rmse_meV_per_atom,raw_energy_max_abs_meV_per_atom,phase_aligned_relative_energy_mae_eV_per_atom,phase_aligned_relative_energy_rmse_eV_per_atom,phase_aligned_relative_energy_max_abs_eV_per_atom,phase_aligned_relative_energy_mae_meV_per_atom,phase_aligned_relative_energy_rmse_meV_per_atom,phase_aligned_relative_energy_max_abs_meV_per_atom,dft_grid_min_scale,nnap_grid_min_scale,dft_grid_min_volume_per_atom_A3,nnap_grid_min_volume_per_atom_A3,grid_min_volume_shift_A3_per_atom,dft_grid_min_energy_per_atom_eV,nnap_grid_min_energy_per_atom_eV
bcc,19,0.0276243371265,0.027926003597,0.033367046874,27.6243371265,27.926003597,33.367046874,0.00373076642589,0.00425017221261,0.006885639586,3.73076642589,4.25017221261,6.885639586,0.996666666667,0.996666666667,17.018667472,17.018667472,0,-7.664576160000,-7.691057567288
fcc,19,0.00190494248321,0.00207009985119,0.002665811878,1.90494248321,2.07009985119,2.665811878,0.000732376739316,0.00108924147714,0.00255184619,0.732376739316,1.08924147714,2.55184619,0.993333333333,0.993333333333,17.0012451246,17.0012451246,0,-7.708123312500,-7.710756224396
hcp,19,0.063827525537,0.0640126288034,0.07306943852,63.827525537,64.0126288034,73.06943852,0.00414853501789,0.00488126633743,0.008838018311,4.14853501789,4.88126633743,8.838018311,0.996666666667,1,17.1467309996,17.3193478075,0.172616807922,-7.763819620000,-7.699588199791
all,57,0.0311189350489,0.0403392432445,0.07306943852,31.1189350489,40.3392432445,73.06943852,0.00287055939437,0.00378933467728,0.008838018311,2.87055939437,3.78933467728,8.838018311,,,,,,,
