fold,metric_name,metric_unit,jnn_path,log_path,train_metric,test_metric,selection_metric,train_test_gap,train_test_ratio,eligible,exclude_reason
0,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-0/0.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-0/log,4.831,5.035,5.035,0.204,1.04222728214,yes,
1,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-1/1.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-1/log,4.757,5.247,5.247,0.49,1.10300609628,yes,
2,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-2/2.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-2/log,4.969,5.054,5.054,0.085,1.01710605756,yes,
3,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-3/3.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-3/log,4.815,4.909,4.909,0.094,1.01952232606,yes,
4,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-4/4.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-4/log,5.039,5.46,5.46,0.421,1.08354832308,yes,
5,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-5/5.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-5/log,4.73,4.825,4.825,0.095,1.0200845666,yes,
6,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-6/6.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-6/log,5.094,5.385,5.385,0.291,1.05712603062,yes,
7,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-7/7.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-7/log,5.423,5.881,5.881,0.458,1.08445509865,yes,
8,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-8/8.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-8/log,4.843,4.989,4.989,0.146,1.03014660335,yes,
9,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-9/9.jnn,/home/tuzhengyu/work/WTaTi/Ti-potential/fcc-restart/model_versions/M4_from_D4/train-committee/train-9/log,4.873,4.601,4.601,0.272,1.05911758313,yes,
