trajectory,trajectory_path,frame,natoms,mini_pressure_bar,pressure_index,raw_index,rss_source_file,rss_source_path,minimized_source_path,raw_source_path,flat_sha256,minimized_sha256
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,10,9,0.0,0,10,000031.poscar,unary-Ta/Ta-00010-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00010-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00010.poscar,416c4bbce1140961fd95393b507e83f398521fe498460edacf9dee741697e136,416c4bbce1140961fd95393b507e83f398521fe498460edacf9dee741697e136
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,11,9,0.0,0,11,000034.poscar,unary-Ta/Ta-00011-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00011-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00011.poscar,e4c3e8db7e5fcdb334dbf43a26c70b9834d1781b44730be6a7436edaa0a5ab45,e4c3e8db7e5fcdb334dbf43a26c70b9834d1781b44730be6a7436edaa0a5ab45
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,12,9,0.0,0,12,000037.poscar,unary-Ta/Ta-00012-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00012-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00012.poscar,3a9ddc360b1f39a26a9cd04a189f2de6bb83a3de1916741bdb172d2b1d754980,3a9ddc360b1f39a26a9cd04a189f2de6bb83a3de1916741bdb172d2b1d754980
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,13,9,0.0,0,13,000040.poscar,unary-Ta/Ta-00013-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00013-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00013.poscar,93cbdcdb37bffefcc4011a775130120d5b1a0dde2ad1411475a59e7c971a5305,93cbdcdb37bffefcc4011a775130120d5b1a0dde2ad1411475a59e7c971a5305
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,14,9,0.0,0,14,000043.poscar,unary-Ta/Ta-00014-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00014-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00014.poscar,71ed7e710c7e2a454e16a550a33e14a186e2c2b83f1f59fa7480f689e15209e3,71ed7e710c7e2a454e16a550a33e14a186e2c2b83f1f59fa7480f689e15209e3
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,15,9,0.0,0,15,000046.poscar,unary-Ta/Ta-00015-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00015-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00015.poscar,6e8bd7ac31a28f0b793471ba187b8c38d83567860d0ccd1fd24c23f646ed8910,6e8bd7ac31a28f0b793471ba187b8c38d83567860d0ccd1fd24c23f646ed8910
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,16,9,0.0,0,16,000049.poscar,unary-Ta/Ta-00016-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00016-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00016.poscar,eea12a40bcee9e2638dc1dd1cd8e2bb180aca2ce716bf95ff6e6256c881954bd,eea12a40bcee9e2638dc1dd1cd8e2bb180aca2ce716bf95ff6e6256c881954bd
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,17,9,0.0,0,17,000052.poscar,unary-Ta/Ta-00017-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00017-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00017.poscar,de602b588c374bde7750c98a191da19a5404da1be53751f160ee462b891bd164,de602b588c374bde7750c98a191da19a5404da1be53751f160ee462b891bd164
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,18,9,0.0,0,18,000055.poscar,unary-Ta/Ta-00018-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00018-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00018.poscar,f2929763005ec2b766f8a2c8251edb11aeec656a89cc90d6e693190d5f4d12c1,f2929763005ec2b766f8a2c8251edb11aeec656a89cc90d6e693190d5f4d12c1
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,19,9,0.0,0,19,000058.poscar,unary-Ta/Ta-00019-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00019-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00019.poscar,cd30ad9a7bbd8e27989ec44186502c7146f1b1ca4ef76fb49f3864a1bb4ade4b,cd30ad9a7bbd8e27989ec44186502c7146f1b1ca4ef76fb49f3864a1bb4ade4b
