fold,metric_name,metric_unit,jnn_path,log_path,train_metric,test_metric,selection_metric,train_test_gap,train_test_ratio,eligible,exclude_reason
0,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-0/0.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-0/log,6.948,6.842,6.842,0.106,1.01549254604,yes,
1,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-1/1.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-1/log,6.738,7.742,7.742,1.004,1.14900563966,yes,
2,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-2/2.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-2/log,6.644,7.528,7.528,0.884,1.13305237809,yes,
3,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-3/3.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-3/log,7.147,6.105,6.105,1.042,1.17067977068,yes,
4,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-4/4.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-4/log,6.901,7.257,7.257,0.356,1.05158672656,yes,
5,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-5/5.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-5/log,6.734,6.915,6.915,0.181,1.02687852688,yes,
6,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-6/6.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-6/log,6.134,6.949,6.949,0.815,1.13286599283,yes,
7,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-7/7.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-7/log,6.444,7.993,7.993,1.549,1.2403786468,yes,
8,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-8/8.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-8/log,6.637,5.897,5.897,0.74,1.12548753604,yes,
9,energy_mae,meV/atom,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-9/9.jnn,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/model_versions/M3_from_D3/train-committee/train-9/log,7.358,7.046,7.046,0.312,1.0442804428,yes,
