group,source,uncertainty_layer,count
source,P-1GPa,,29
source,P-5GPa,,20
source,P-10GPa,,17
source,P-20GPa,,7
source,P-30GPa,,8
source,P-40GPa,,6
source,P-50GPa,,13
uncertainty_layer,,U-below-tail,99
uncertainty_layer,,U-ge-tail,1
source_layer,P-1GPa,U-below-tail,29
source_layer,P-5GPa,U-below-tail,20
source_layer,P-10GPa,U-below-tail,17
source_layer,P-20GPa,U-below-tail,7
source_layer,P-30GPa,U-below-tail,8
source_layer,P-40GPa,U-below-tail,6
source_layer,P-50GPa,U-below-tail,12
source_layer,P-50GPa,U-ge-tail,1
