source_type,source_value,scale_factor,trajectory,trajectory_path,frame,uncertainty,volume_per_atom,max_force,max_force_model0,instant_pressure_gpa,natoms,min_distance_A,physical_gate_status,candidate_rank_source,candidate_file,final_selected,cur_rank,cur_phase,cur_score,selected_file,singular_value,residual_norm,max_similarity_selected,max_similarity_base
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1378,0.3752318319,17.671052053872373,9.660943044,9.614976993,1.861588627,16,2.2188586417657503,passed,18,P-2GPa_frame00001378_U0.375232.poscar,False,,,,,,,,0.9999785101
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1428,0.2588495663,17.556741396458932,9.106465525,9.219383064,14.20281208,16,2.2042712406852862,passed,19,P-2GPa_frame00001428_U0.258850.poscar,False,,,,,,,,0.9999825305
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1478,0.305383825,17.011513617284816,3.892974384,3.896403182,17.36668565,16,2.3075029596663,passed,20,P-2GPa_frame00001478_U0.305384.poscar,True,19,cur-fill,0.04011177895,000019.poscar,0.003274738284,0.0007693679506,0.9992894447,0.9999838595
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1528,0.2808643632,18.354361658629887,6.397436655,6.237294663,7.984614968,16,2.2177819104972474,passed,21,P-2GPa_frame00001528_U0.280864.poscar,False,,,,,,,,0.9999823548
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1578,0.2374364487,18.650910233903723,7.5321954,7.293361245,7.185625106,16,2.2852417893338592,passed,22,P-2GPa_frame00001578_U0.237436.poscar,False,,,,,,,,0.999985871
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1630,0.209194387,21.47318539068365,5.80185602,5.975728823,-4.959735441,16,2.295450482736563,passed,23,P-2GPa_frame00001630_U0.209194.poscar,True,27,cur-fill,0.05031690041,000027.poscar,0.001147652997,0.0003010334494,0.9974678317,0.999978357
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1680,0.362292913,16.82312334981705,8.909556171,9.137916591,24.67896417,16,2.1632880710329663,passed,24,P-2GPa_frame00001680_U0.362293.poscar,False,,,,,,,,0.9999683541
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1730,0.3220189426,19.574715111695383,7.714527576,7.762614898,10.52781213,16,2.221360710557786,passed,25,P-2GPa_frame00001730_U0.322019.poscar,False,,,,,,,,0.999986403
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1780,0.3248808682,17.34449344459495,9.121923977,9.729003345,25.33923837,16,2.088390810524391,passed,26,P-2GPa_frame00001780_U0.324881.poscar,True,36,cur-fill,0.0208233609,000036.poscar,0.0004623819214,7.778900244e-05,0.9983166763,0.9999737283
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1830,0.209469859,17.855621923802126,5.946829672,5.928593634,15.24447416,16,2.228949644793524,passed,27,P-2GPa_frame00001830_U0.209470.poscar,False,,,,,,,,0.9999883156
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1880,0.3200573342,19.314666250440442,8.28421203,8.575554102,5.006144282,16,2.128970854445409,passed,28,P-2GPa_frame00001880_U0.320057.poscar,True,22,cur-fill,0.07322317078,000022.poscar,0.002203339305,0.0006386233531,0.996384503,0.9999733939
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1933,0.2314640903,17.190337524695575,6.70483217,6.696488149,4.182646664,16,2.306753824906563,passed,29,P-2GPa_frame00001933_U0.231464.poscar,False,,,,,,,,0.9999773876
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,1983,0.2417189103,18.61509216703964,8.923539752,9.029667359,-2.36708769,16,2.026847953606924,passed,30,P-2GPa_frame00001983_U0.241719.poscar,True,26,cur-fill,0.02687501256,000026.poscar,0.001190171574,0.0002644291413,0.9981976146,0.9999804234
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2033,0.5413309607,17.778816427033565,6.069760281,6.310165334,14.24477341,16,2.2201052156678154,passed,31,P-2GPa_frame00002033_U0.541331.poscar,False,,,,,,,,0.9999851334
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2085,0.2655578289,17.38006376431184,8.872332745,8.804372298,0.9278224817,16,2.2752703946249717,passed,32,P-2GPa_frame00002085_U0.265558.poscar,False,,,,,,,,0.9999726452
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2136,0.2794719954,18.286465301901384,8.648723455,8.706566836,-3.118378883,16,2.1392173918539372,passed,33,P-2GPa_frame00002136_U0.279472.poscar,True,50,cur-fill,0.01594781025,000050.poscar,8.362222772e-05,1.491005477e-05,0.9997354304,0.9999866568
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2189,0.291439387,18.493151867905066,7.283553235,7.51187699,6.833036171,16,2.156472408478989,passed,34,P-2GPa_frame00002189_U0.291439.poscar,False,,,,,,,,0.999977275
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2239,0.3307556291,18.37674586652558,7.07603136,7.111469153,-4.126099929,16,2.2811060611235914,passed,35,P-2GPa_frame00002239_U0.330756.poscar,True,24,cur-fill,0.02676669268,000024.poscar,0.001763237308,0.0003270980431,0.998463504,0.9999726091
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2289,0.2413695592,17.94748477869738,7.991217225,7.891706662,4.481771729,16,2.2551138273602036,passed,36,P-2GPa_frame00002289_U0.241370.poscar,False,,,,,,,,0.9999944701
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2342,0.2075939216,17.962109670909655,6.514106876,6.453177693,4.692822232,16,2.293651455158436,passed,37,P-2GPa_frame00002342_U0.207594.poscar,True,29,cur-fill,0.02013887508,000029.poscar,0.0009733344946,0.0001807342723,0.9994608654,0.999993302
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2393,0.2256328567,18.09444528261765,6.360169793,6.683599809,1.808956941,16,2.2803338055623668,passed,38,P-2GPa_frame00002393_U0.225633.poscar,False,,,,,,,,0.9999888445
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2444,0.2125624102,18.086656574605005,6.184770199,6.189949451,-1.99697776,16,2.2618549785175643,passed,39,P-2GPa_frame00002444_U0.212562.poscar,False,,,,,,,,0.9999768052
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2499,0.3608615874,17.575181365929787,11.09041388,11.05192495,3.083721563,16,2.235758129986669,passed,40,P-2GPa_frame00002499_U0.360862.poscar,True,71,cur-fill,0.02393222761,000071.poscar,5.610609262e-06,9.426280357e-07,0.9996272557,0.9999886451
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2551,0.2137749835,17.974568692059826,4.950190317,5.192034316,-3.251136697,16,2.4131337800403627,passed,41,P-2GPa_frame00002551_U0.213775.poscar,False,,,,,,,,0.9999691507
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2601,0.2196436088,17.12864490368518,7.705283491,7.629424223,3.335192743,16,2.236652617129381,passed,42,P-2GPa_frame00002601_U0.219644.poscar,False,,,,,,,,0.9999909738
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2656,0.2333879424,18.89423349570737,6.007788776,6.227425617,-3.774073696,16,2.3195079501043296,passed,43,P-2GPa_frame00002656_U0.233388.poscar,True,46,cur-fill,0.0191981837,000046.poscar,0.0001382635981,2.746861663e-05,0.9990370398,0.9999755009
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2710,0.2412394801,17.73364048865707,7.677041306,7.599791002,-1.865668999,16,2.195891335371521,passed,44,P-2GPa_frame00002710_U0.241239.poscar,False,,,,,,,,0.9999831126
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2760,0.2200758396,19.177174529818597,7.451374377,7.653236988,-6.206525081,16,2.1877863161252136,passed,45,P-2GPa_frame00002760_U0.220076.poscar,False,,,,,,,,0.9999527353
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2810,0.2632733394,20.142967275738133,6.174426456,6.37901022,4.077867783,16,2.1856501640303603,passed,46,P-2GPa_frame00002810_U0.263273.poscar,True,13,cur-fill,0.07491528229,000013.poscar,0.007981202379,0.002636663214,0.9949144668,0.9999766827
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2868,0.2276079327,18.080192685704127,7.812511895,7.889875317,1.943440592,16,2.126228906641327,passed,47,P-2GPa_frame00002868_U0.227608.poscar,False,,,,,,,,0.9999953941
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2918,0.218186639,16.45933531271685,8.488889525,8.370975323,8.919178548,16,2.224809531247775,passed,48,P-2GPa_frame00002918_U0.218187.poscar,False,,,,,,,,0.9999840445
npt_pressure,2,,P-2GPa,W-potential/04-npt-round-2/md/P-2GPa/multi_nnap_md.xyz,2968,0.2540910452,18.195865033840896,8.396884682,8.294063066,5.395045222,16,2.1822681308781813,passed,49,P-2GPa_frame00002968_U0.254091.poscar,True,58,cur-fill,0.03292757506,000058.poscar,2.700974173e-05,5.499671982e-06,0.998925622,0.9999861524
